# zeta    SD    SD_err
0.0095 0.0012832704200498818 3.087870085899373e-05
0.0096 0.0013033551618707004 3.687365666369836e-05
0.0097 0.001326430372833418 3.5382853846564776e-05
0.0098 0.0013484433397069379 3.7806259000187444e-05
0.0099 0.0013715655140659523 3.606025577783835e-05
0.01 0.0013967828837636149 3.71320411715412e-05
0.0101 0.0014196461909926714 3.778783414579801e-05
0.0102 0.0014341739561155055 3.7331787199011345e-05
0.0103 0.0014633255498264902 4.035601489264623e-05
0.0104 0.0014952198259704156 3.877545471955234e-05
0.0105 0.0015124832928333457 4.216434172456343e-05
0.0106 0.0015489333887469144 4.376993703763773e-05
0.0107 0.0015711225286319968 4.018188359451637e-05
0.0108 0.0015988022854546461 4.2729292858209976e-05
0.0109 0.001620278940306267 4.416330188370304e-05
0.011 0.0016501906247158235 4.2974162874297686e-05
0.0111 0.0016844115716697626 4.5567431896850985e-05
0.0112 0.0017090651577982626 4.699502233600715e-05
0.0113 0.0017427153507601292 4.7008198496696274e-05
0.0114 0.001772745898140791 5.138319909787366e-05
0.0115 0.0018010132370140982 4.699204919495165e-05
0.0116 0.0018321541522208222 4.9516785270669215e-05
0.0117 0.0018622717637270345 4.899234730815177e-05
0.0118 0.0019026141642224785 5.4236222557288476e-05
0.0119 0.001929192230384261 4.924328603238872e-05
0.012 0.0019607096161785406 5.194766094695371e-05
0.0121 0.002001193444616237 5.2493526185303974e-05
0.0122 0.0020341889181624702 5.289372737362109e-05
0.0123 0.002074104711670797 5.254617904906077e-05
0.0124 0.0021073858354309495 5.739592195749918e-05
0.0125 0.002149001415954629 5.6923216499921727e-05
0.0126 0.0021773607596755756 5.610507471385457e-05
0.0127 0.0022267282990073127 6.156971706899349e-05
0.0128 0.0022641719871732357 6.460435164777545e-05
0.0129 0.002304594997342266 6.621455065106344e-05
0.013 0.0023446427599903147 7.066338824454381e-05
0.0131 0.002392795937679392 6.266144348356212e-05
0.0132 0.002423991332575263 6.419725740506902e-05
0.0133 0.002473050148091421 6.441839140011008e-05
0.0134 0.002511588088117755 6.624779950788019e-05
0.0135 0.0025679509440359252 7.717137021588323e-05
0.0136 0.0026149151017528277 6.943886751854009e-05
0.0137 0.00266322723609909 7.297264495552649e-05
0.0138 0.002706347621500239 7.644711800743085e-05
0.0139 0.002769232127210538 7.692539582250043e-05
0.014 0.0028275763126704464 7.475257896692696e-05
0.0141 0.002881668528713009 7.808712285177274e-05
0.0142 0.0029374441441498084 8.500293303852614e-05
0.0143 0.003008038754633158 8.626027051659336e-05
0.0144 0.0030746992239241875 8.434712279024852e-05
0.0145 0.003159633090645178 8.827882270991732e-05
0.0146 0.003233402625331402 9.834546465102264e-05
0.0147 0.0033401217907585343 0.00010094521493071686
0.0148 0.0037023634299052817 0.00010642051162452823
0.0149 0.0037519566301831104 0.00011148121676620507
0.015 0.0037160819188494757 0.00011230570491310886
0.0151 0.0036363842833197647 0.00013066933713568689
0.0152 0.003837214721956539 0.00011588712031348693
0.0153 0.0038156562447893543 0.00012324056065817924
0.0154 0.003859278298542358 0.00012275520224405692
0.0155 0.003828877534052898 0.00012129506527543107
0.0156 0.003964436532863151 0.00012216736470654907
0.0157 0.003909794105419747 0.0001155872869852648
0.0158 0.0040249350067299225 0.00012941595818152045
0.0159 0.003977311447146175 0.00012818261858996553
0.016 0.003907484238199177 0.00012784236225465105
0.0161 0.0039152637756318534 0.00012738495863840184
0.0162 0.003949450062527693 0.00012292451349578694
0.0163 0.003948055484361891 0.00012303830009544514
0.0164 0.003960920006737702 0.00011941353402080688
0.0165 0.003977909979109633 0.00012205354704306402
0.0166 0.003959996782309298 0.00012393218819474442
0.0167 0.003957322885878786 0.00011644006499328815
0.0168 0.003978233816041988 0.00012881279719551204
0.0169 0.00400753834152276 0.00012487263945211034
0.017 0.004027815225640322 0.00013174087268025083
0.0172 0.004064062151687029 0.00011502330653325554
0.0174 0.004083179248205374 0.00012853933491190913
0.0176 0.004079672334805211 0.000122792781731396
0.0178 0.004089997167370657 0.0001205841562144456
0.018 0.004281597309836599 0.0001232381978666951
0.0182 0.004061955992671511 0.00012030939537834845
0.0184 0.0041401580503375715 0.00011233056634295622
0.0186 0.0041327949701866415 0.00011912913121372132
0.0188 0.004152135300056466 0.00011653348096272877
0.019 0.004163815169000661 0.0001326214654780458
0.0192 0.004126847700046005 0.00011850979476518995
0.0194 0.004146827811846062 0.00011419441380252082
0.0196 0.004132856108504142 0.00012906277202656395
0.0198 0.004154883452950275 0.00011448114858937185
0.02 0.004141885262486155 0.00011493248714474805
0.0202 0.0041047895941692305 0.00011584474081641648
0.0204 0.004106271957478584 0.0001169935237169586
0.0206 0.004106840847646766 0.00011045614225215088
0.0208 0.004072101393027929 0.00011055404643588847
0.021 0.004094073939928296 0.00011043489536608396
0.0212 0.004030886993888566 0.00011466109020521739
0.0214 0.003964408199766392 0.00012420438512397835
0.0216 0.0039645648096607025 0.00010405059481602545
0.0218 0.003963217265300377 9.795643535478495e-05
0.022 0.003959280093287162 9.879440264939063e-05
0.0222 0.003952178360015525 0.00010585652795618044
0.0224 0.003918503176163062 0.00010949182919640799
0.0226 0.0039035356191246674 0.00011597265310493333
0.0228 0.0039007443470157077 0.00010160851791988978
0.023 0.003885606790129439 0.00010940945984177441
0.0232 0.0038735449219545652 0.00010373629074195926
0.0234 0.0038679592174039267 9.845054564921877e-05
0.0236 0.003871047233230305 0.0001023988746225939
0.0238 0.003868004851312237 0.00010290031212327149
0.024 0.003846284572727296 0.00010700501390741463
