# zeta    SD    SD_err
0.0154 0.001096852437842028 8.71820216063825e-05
0.0156 0.001254611059412438 0.00014405638473409744
0.0158 0.0017392907731601408 0.00012190567278075226
0.016 0.0015447631208699928 0.00013758074550532042
0.0162 0.0012608900215324093 0.00012458051934366828
0.0164 0.001541040833852238 0.00014656489907468673
0.0166 0.0014538831624308745 0.00012940953663398763
0.0168 0.00168440945663458 0.00014314000260664484
0.017 0.0011526845945010282 6.458867418152155e-05
0.0172 0.0013843361765120495 0.0001376957849132451
0.0174 0.001581437362022284 0.00017501805804960157
0.0176 0.001513380066077256 0.00013233785313595362
0.0178 0.0015258501126912826 0.0002043170484587014
0.018 0.0013031344059612575 0.00010068433778614828
0.0182 0.0013891532477016348 0.00014767617010888633
0.0184 0.001268401252128048 8.650328822192744e-05
0.0186 0.0011663776659384386 9.817924080098939e-05
0.0188 0.001539882089641931 0.00011195345216000307
0.019 0.0021036044434256168 0.00016394032601118274
0.0192 0.0013208845212205342 0.00011513903350755254
0.0194 0.0016831138338211113 0.0001298612687000402
0.0196 0.0015050403158719703 8.032023729167127e-05
0.0198 0.0013268366532471132 0.00012582802677457857
0.02 0.0015001622653566513 0.0001204822414413638
0.0202 0.0018922435176266295 0.00012859511768716685
0.0204 0.0014781141104799722 0.0001380062683025059
0.0206 0.0011375031479516882 0.00012449394070830432
0.0208 0.0015768569656122904 0.00017644616487745676
0.021 0.0016845523351917567 0.00014904414249919311
0.0212 0.002684812064111751 0.0002069842298929883
0.0214 0.0017398240932921926 0.00013684250837170438
0.0216 0.002118394337605725 0.00019909227517044117
0.0218 0.0017892075453675015 0.00017487903139133692
0.022 0.001578087141320149 0.00014160245890965472
0.0222 0.0021822729035572063 0.00019197585462757215
0.0224 0.0021089984337594944 0.00021774712197856688
0.0226 0.001860523152341835 0.000168901399914164
0.0228 0.0015872133090419826 0.00011200292974832564
0.023 0.0019877760486533692 0.00020558372877365477
0.0232 0.001743049597573173 0.0001765131000008409
0.0234 0.001963675260831078 0.0002027210466306438
0.0236 0.002204896477932694 0.0001938736231084749
0.0238 0.0019133460769029736 0.00015012567039821682
0.024 0.0021694998118460393 0.0001498547151432672
0.0242 0.0018509129942814707 0.0001675684243541435
0.0244 0.002107038982933159 0.00016410472217781894
0.0246 0.0019605812326960593 0.00016788172532333036
0.0248 0.0018837914963179972 0.00014319547600126766
0.025 0.002156184960897372 0.00017175498723505218
0.0252 0.001707867796405799 0.0001918753647169417
0.0254 0.002276075572471178 0.00018768197463759885
0.0256 0.0017210437316930677 0.00011826408508498176
0.0258 0.00228797604218226 0.0001890147967039712
0.026 0.0019335204928833827 0.00018189980118498873
0.0262 0.0019711812474757363 0.00014171124275711496
0.0264 0.0016476106598344164 0.00015236276681025425
0.0266 0.00208939483343862 0.00017636372599141915
0.0268 0.002628311920910454 0.00018061297507170507
0.027 0.001928698839010383 0.00016821343438823148
0.0272 0.0025070107954294893 0.00024905820652801813
0.0274 0.002212486132928295 0.00016222654824540203
0.0276 0.002276750262984502 0.0001802974780589806
0.0278 0.002196675615560932 0.0002178813139347076
0.028 0.0020383892602739056 0.00015869658366149498
0.0282 0.0017716600577988993 0.00015530677524685607
0.0284 0.0023690057128677422 0.00019420237675892525
0.0286 0.001801260819426215 0.0001598201427132142
0.0288 0.0031077087832678276 0.0002186036389742795
0.029 0.002053406888563492 0.00018613693952922975
0.0292 0.0021602912100918245 0.00015467375427161525
0.0294 0.002321967520530811 0.0002347918614783351
0.0296 0.003266076230647411 0.0002512779790075924
0.0298 0.0021321757759621978 0.00021636031610458133
0.03 0.0026223331276555993 0.00021044462543975682
0.0302 0.0023381768426703744 0.00017954995603148717
0.0304 0.002355639566317394 0.0002605041854831558
0.0306 0.002188998094928362 0.00019953899195149176
0.0308 0.0029614593859109395 0.000189818086340506
0.031 0.00290163856639658 0.0002777727571921652
0.0312 0.0026996158271872686 0.00018788022166221603
0.0314 0.0025053643819612347 0.00022132580045581795
0.0316 0.0028616209930037904 0.0002802660053707588
0.0318 0.0019995816262408494 0.0002067218849093508
0.032 0.002512533356514894 0.00017650565459467085
0.0322 0.0030140944773513647 0.00030422040099583616
0.0324 0.002505242318339685 0.00026812653289268927
0.0326 0.0024477578492162985 0.00024964125712344736
0.0328 0.002529511452909435 0.0002165345511401003
0.033 0.003292837424532222 0.0002531252665994017
0.0332 0.004103316011471698 0.00038747728628191246
0.0334 0.003374531252129694 0.0003145927480792716
0.0336 0.002914867909803118 0.0002505661054494468
0.0338 0.002392139705368397 0.00030110220607633664
0.034 0.0027725561050409783 0.0002476593920877496
0.0342 0.0025683457151248154 0.0001815050926685218
0.0344 0.0023797425911219893 0.0002587772126408425
0.0346 0.0034444739416055973 0.00031136766752083283
0.0348 0.0021266149669368923 0.00020073729638716108
0.035 0.0028394765518313407 0.00026156468915143047
0.0352 0.0024844691554535346 0.0002324614899441843
0.0354 0.0027180516995818894 0.00024469652492080526
0.0356 0.002048226930396142 0.00023166166718738024
0.0358 0.002205757450310437 0.0002258565729115798
0.036 0.003492369979312043 0.0003453592518221125
0.0362 0.002958094874002523 0.00026303022998157337
0.0364 0.0035408928480822467 0.0003069590667955896
0.0366 0.003424934946009924 0.00028035375619852535
0.0368 0.002795341725084788 0.00025241645771932895
0.037 0.002780494518894076 0.00027851518921596653
0.0372 0.0028499310973425303 0.00026608380306702035
0.0374 0.0032179545242280853 0.0003728551380276109
0.0376 0.00270497466908657 0.00027364941613861044
0.0378 0.0027356987998681435 0.00025259451484674095
