# zeta    average_speed
0.0398 0.029096656448054585
0.04 0.03663685374582497
0.0402 0.030972599375896963
0.0404 0.030275947572212608
0.0406 0.034131783076690424
0.0408 0.03972972186260777
0.041 0.0322583987131984
0.0412 0.03699000153144547
0.0414 0.040294464685555344
0.0416 0.030137067231259758
0.0418 0.039520717748763604
0.042 0.030551153937084158
0.0422 0.04023502908171858
0.0424 0.034860842905579656
0.0426 0.03169807164958628
0.0428 0.039483298355811686
0.043 0.0417170465360731
0.0432 0.041477243910779865
0.0434 0.03153286372793185
0.0436 0.042039582124947836
0.0438 0.040520325469798384
0.044 0.032506566015569845
0.0442 0.037048926735796475
0.0444 0.03556556886329328
0.0446 0.040287366879259545
0.0448 0.032758842336808536
0.045 0.041047826951309194
0.0452 0.04286756239096863
0.0454 0.037751323794691066
